firm_id,baseline_employees,total_grant_amount,grant_stage1_amount,grant_stage2_total_amount,grant_stage3_amount,post_grant_permanent_employees,post_grant_temporary_employees,total_employees_post_grant,city,state,region,num_paid_employees,monthly_revenue,annual_revenue_2014,last_month_income,family_applied_member,family_applied_spouse,family_applied_other,applied_third_round,selected_third_round,survival_chance_without_grant,m_i_7
1667,7.0,4800000.0,480000.0,1920000.0,1200000.0,9,14,914.0,184.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,60.0,1.0
1806,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,22.0,35.0,4.0,6.0,300000.0,2200000.0,100000.0,0.0,1.0,0.0,2.0,2.0,50.0,2.0
1813,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,24.0,9.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
1893,3.0,0.0,0.0,0.0,0.0,3,2,32.0,19.0,15.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
1937,2.0,5000000.0,200000.0,2800000.0,1000000.0,15,28,1528.0,52.0,25.0,7.0,7.0,535000.0,3600000.0,80000.0,0.0,0.0,0.0,2.0,2.0,40.0,1.0
2093,15.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,Unknown,Unknown,6.0,150000.0,2200000.0,80000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
2113,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,15.0,6.0,6.0,150000.0,1000000.0,60000.0,0.0,1.0,0.0,2.0,2.0,50.0,2.0
2175,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,48.0,12.0,2.0,0.0,185000.0,220000.0,18000.0,0.0,1.0,0.0,1.0,1.0,50.0,2.0
2204,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,502800.0,2200000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0,2.0
2212,2.0,10000000.0,1000000.0,5000000.0,1500000.0,8,4,84.0,59.0,25.0,7.0,8.0,1200000.0,10800000.0,150000.0,0.0,0.0,0.0,2.0,2.0,60.0,1.0
2401,1.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
2436,3.0,0.0,0.0,0.0,0.0,9,28,928.0,19.0,15.0,6.0,7.0,200000.0,8000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
2593,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,335.0,20.0,5.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
2602,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,48.0,12.0,2.0,2.0,5000000.0,6000000.0,5000000.0,1.0,0.0,0.0,2.0,2.0,50.0,2.0
2637,3.0,2500000.0,100000.0,1600000.0,400000.0,7,88,788.0,19.0,15.0,6.0,5.0,2000000.0,10000000.0,500000.0,0.0,0.0,0.0,2.0,2.0,80.0,1.0
2692,3.0,4600000.0,460000.0,2040000.0,950000.0,4,22,422.0,193.0,31.0,1.0,16.0,1400000.0,16225000.0,500000.0,0.0,0.0,0.0,2.0,2.0,0.0,1.0
2750,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,59.0,25.0,7.0,2.0,200000.0,2000000.0,120000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
2765,5.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,1.0,33.0,2.0,5.0,211000.0,1388000.0,150000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
2854,4.0,6000000.0,300000.0,2700000.0,1500000.0,8,4,84.0,1.0,33.0,2.0,7.0,300000.0,3000000.0,2.5,0.0,0.0,0.0,2.0,2.0,35.0,2.0
2957,13.0,6000000.0,600000.0,2400000.0,1500000.0,8,16,816.0,17.0,5.0,4.0,12.0,100000.0,2000000.0,50000.0,0.0,0.0,0.0,2.0,2.0,20.0,1.0
3031,9.0,10000000.0,1000000.0,4000000.0,2500000.0,4,15,415.0,19.0,15.0,6.0,11.0,500000.0,8000000.0,150000.0,0.0,0.0,0.0,2.0,2.0,60.0,1.0
3057,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,400000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
3260,3.0,7500000.0,750000.0,3500000.0,1375000.0,7,3,73.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
3426,4.0,6000000.0,0.0,3000000.0,1500000.0,7,8,78.0,38.0,12.0,2.0,14.0,926900.0,10019000.0,269000.0,0.0,0.0,0.0,2.0,2.0,25.0,1.0
3459,3.0,6000000.0,200000.0,2800000.0,1500000.0,9,1,91.0,31.0,16.0,4.0,9.0,0.1,500000.0,2.5,0.0,0.0,0.0,2.0,2.0,100.0,1.0
3699,3.0,6000000.0,600000.0,2400000.0,1500000.0,10,7,107.0,184.0,25.0,7.0,8.0,2200000.0,16504500.0,255000.0,0.0,0.0,0.0,2.0,2.0,80.0,2.0
3780,3.0,4000000.0,400000.0,1600000.0,1000000.0,6,6,66.0,22.0,35.0,4.0,4.0,499850.0,500000.0,100000.0,0.0,0.0,0.0,2.0,2.0,40.0,1.0
3782,3.0,0.0,0.0,0.0,0.0,6,5,65.0,41.0,21.0,5.0,7.0,300000.0,2000000.0,400000.0,0.0,0.0,0.0,2.0,2.0,5.0,1.0
3802,3.0,6000000.0,600000.0,2400000.0,1500000.0,7,3,73.0,19.0,15.0,6.0,2.0,350000.0,600000.0,200000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
3884,7.0,6000000.0,600000.0,2400000.0,1500000.0,3,3,33.0,50.0,32.0,6.0,6.0,430000.0,900000.0,200000.0,0.0,0.0,0.0,2.0,2.0,80.0,1.0
3886,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,212.0,11.0,3.0,7.0,450000.0,9000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
3911,1.0,2500000.0,250000.0,1000000.0,625000.0,4,6,46.0,1.0,33.0,2.0,1.0,150000.0,950000.0,2.5,0.0,0.0,0.0,2.0,2.0,80.0,1.0
3919,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,800000.0,2200000.0,240000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
3940,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,63.0,7.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
3941,7.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,49.0,25.0,7.0,13.0,5500000.0,58000000.0,900000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
3996,2.0,2500000.0,250000.0,1400000.0,425000.0,6,5,65.0,147.0,25.0,7.0,4.0,480000.0,2000000.0,120000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
4032,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,184.0,25.0,7.0,13.0,100000.0,8000000.0,50000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
4048,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,8.0,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
4154,6.0,5000000.0,500000.0,2000000.0,1250000.0,15,2,152.0,36.0,8.0,4.0,11.0,550000.0,2200000.0,300000.0,0.0,0.0,0.0,2.0,2.0,30.0,1.0
4177,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,184.0,25.0,7.0,5.0,200000.0,350000.0,67000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
4199,2.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,26.0,29.0,1.0,1.0,200000.0,800000.0,120000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
4307,3.0,6000000.0,0.0,3000000.0,1500000.0,3,5,35.0,184.0,25.0,7.0,3.0,20000.0,1500000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0,1.0
4359,6.0,6000000.0,600000.0,2400000.0,1500000.0,12,4,124.0,122.0,28.0,1.0,3.0,300000.0,1200000.0,190000.0,0.0,0.0,0.0,2.0,2.0,80.0,1.0
4662,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
4669,3.0,0.0,0.0,0.0,0.0,9,5,95.0,19.0,15.0,6.0,11.0,900000.0,8000000.0,500000.0,0.0,0.0,0.0,2.0,2.0,85.0,1.0
4733,3.0,2500000.0,0.0,1000000.0,875000.0,6,4,64.0,55.0,10.0,2.0,10.0,364000.0,2980450.0,95000.0,0.0,0.0,0.0,2.0,2.0,30.0,1.0
4786,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,26.0,29.0,1.0,2.0,200000.0,550000.0,90000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
4797,3.0,5300000.0,530000.0,2620000.0,825000.0,5,2,52.0,22.0,35.0,4.0,3.0,2000000.0,3000000.0,280000.0,0.0,0.0,0.0,2.0,2.0,20.0,1.0
4852,9.0,0.0,0.0,0.0,0.0,4,2,42.0,10.0,3.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
4952,10.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,337.0,3.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
5040,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
5075,3.0,0.0,0.0,0.0,0.0,3,20,320.0,22.0,35.0,4.0,6.0,100000.0,1200000.0,50000.0,0.0,0.0,0.0,2.0,2.0,95.0,1.0
5081,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,48.0,12.0,2.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
5167,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,36.0,8.0,4.0,3.0,150000.0,2500000.0,150000.0,0.0,0.0,0.0,2.0,2.0,100.0,2.0
5196,3.0,5000000.0,500000.0,2000000.0,1250000.0,16,7,167.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
5204,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,38.0,12.0,2.0,3.0,562275.0,6480000.0,101000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
5313,5.0,6000000.0,600000.0,2400000.0,1500000.0,12,6,126.0,147.0,25.0,7.0,18.0,435000.0,4555000.0,175000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
5355,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,15.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
5498,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
5506,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,8.0,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
5570,3.0,3000000.0,300000.0,1200000.0,750000.0,7,4,74.0,24.0,9.0,2.0,4.0,260000.0,2500000.0,110000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
5579,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,59.0,25.0,7.0,9.0,6000000.0,100000000.0,1200000.0,0.0,1.0,0.0,2.0,2.0,50.0,2.0
5676,6.0,3500000.0,200000.0,1800000.0,750000.0,5,3,53.0,36.0,8.0,4.0,6.0,80000.0,1300000.0,30000.0,0.0,0.0,0.0,2.0,2.0,20.0,1.0
5894,10.0,5000000.0,500000.0,2500000.0,1000000.0,15,10,1510.0,184.0,25.0,7.0,3.0,350000.0,1000000.0,150000.0,0.0,0.0,0.0,2.0,2.0,40.0,1.0
5929,2.0,4200000.0,420000.0,2280000.0,750000.0,7,10,710.0,1.0,33.0,2.0,7.0,315000.0,5040000.0,100000.0,0.0,0.0,0.0,2.0,2.0,20.0,1.0
5957,3.0,2400000.0,180000.0,820000.0,700000.0,12,24,1224.0,11.0,6.0,2.0,2.0,37790.0,308770.0,20360.0,0.0,0.0,0.0,2.0,2.0,20.0,1.0
6123,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,184.0,25.0,7.0,0.0,0.1,1000000.0,2.5,0.0,0.0,0.0,2.0,2.0,50.0,2.0
6199,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,8.0,19.0,5.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
6316,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,184.0,25.0,7.0,4.0,80000.0,800000.0,40000.0,0.0,1.0,0.0,1.0,2.0,50.0,2.0
6423,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
6668,3.0,5900000.0,590000.0,2360000.0,1475000.0,8,2,82.0,19.0,15.0,6.0,10.0,2000000.0,12000000.0,450000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
6716,3.0,3000000.0,300000.0,1500000.0,450000.0,11,2,112.0,22.0,35.0,4.0,7.0,870000.0,900000.0,150000.0,0.0,0.0,0.0,2.0,2.0,70.0,1.0
6717,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,304.0,36.0,4.0,2.0,150000.0,850000.0,60000.0,0.0,0.0,0.0,1.0,1.0,50.0,2.0
6752,3.0,10000000.0,1000000.0,4700000.0,1800000.0,14,9,149.0,71.0,27.0,6.0,13.0,612500.0,5835000.0,2.5,0.0,0.0,0.0,2.0,2.0,20.0,1.0
6820,3.0,6000000.0,0.0,3750000.0,750000.0,18,4,184.0,184.0,25.0,7.0,18.0,7000000.0,10000000.0,500000.0,0.0,0.0,0.0,2.0,2.0,20.0,1.0
6955,3.0,4500000.0,450000.0,1800000.0,1125000.0,7,11,711.0,163.0,25.0,7.0,4.0,560000.0,3500000.0,240000.0,0.0,0.0,0.0,2.0,2.0,70.0,1.0
7052,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,212.0,11.0,3.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
7153,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
7230,3.0,6000000.0,600000.0,2900000.0,1000000.0,6,16,616.0,184.0,25.0,7.0,8.0,750000.0,2200000.0,300000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
7236,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
7261,5.0,4000000.0,400000.0,1000000.0,1600000.0,20,3,203.0,184.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
7346,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,10.0,3.0,2.0,4.0,736000.0,9000000.0,550000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
7500,6.0,6000000.0,200000.0,3300000.0,1250000.0,15,6,156.0,Unknown,Unknown,Unknown,6.0,800000.0,2200000.0,500000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
7525,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,13.0,30.0,1.0,10.0,125000.0,1700000.0,160000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
7536,3.0,5500000.0,250000.0,3000000.0,875000.0,7,24,724.0,9.0,1.0,3.0,15.0,6890560.0,16300000.0,235000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
7625,5.0,0.0,0.0,0.0,0.0,7,3,73.0,23.0,34.0,5.0,15.0,480000.0,6800000.0,300000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
7629,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,319.0,23.0,6.0,6.0,300000.0,2200000.0,100000.0,1.0,0.0,1.0,2.0,2.0,50.0,2.0
7654,9.0,4500000.0,200000.0,2500000.0,900000.0,5,5,55.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
7699,4.0,5000000.0,0.0,3000000.0,750000.0,10,18,1018.0,Unknown,Unknown,Unknown,6.0,6000000.0,2200000.0,350000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
7729,4.0,3800000.0,300000.0,2100000.0,700000.0,13,3,133.0,48.0,12.0,2.0,12.0,1200000.0,12000000.0,550000.0,0.0,0.0,0.0,2.0,2.0,20.0,1.0
7868,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,24.0,9.0,2.0,1.0,360000.0,3800000.0,140000.0,0.0,1.0,0.0,1.0,2.0,50.0,2.0
8048,3.0,3300300.0,330030.0,1820120.0,325075.0,13,33,1333.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
8073,2.0,3600000.0,0.0,1440000.0,1260000.0,9,6,96.0,212.0,11.0,3.0,8.0,8000000.0,20000000.0,300000.0,0.0,0.0,0.0,2.0,2.0,80.0,1.0
8091,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,209.0,29.0,1.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
8105,3.0,3000000.0,300000.0,1200000.0,750000.0,11,15,1115.0,Unknown,Unknown,Unknown,6.0,400000.0,2200000.0,150000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
8107,3.0,5600000.0,200000.0,2700000.0,1350000.0,5,0,50.0,321.0,13.0,1.0,2.0,50000.0,1000000.0,20000.0,0.0,0.0,0.0,2.0,2.0,40.0,1.0
8216,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,36.0,8.0,4.0,5.0,200000.0,1800000.0,80000.0,0.0,0.0,0.0,2.0,2.0,20.0,2.0
8444,3.0,6000000.0,100000.0,3500000.0,900000.0,15,4,154.0,65.0,4.0,3.0,10.0,800000.0,9000000.0,150000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
8571,10.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,326.0,26.0,6.0,4.0,113000.0,5000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
8652,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,20.0,2.0,4.0,10.0,11000.0,100000.0,7000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
9012,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
9134,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,3000500.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
9234,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,15.0,6.0,0.0,150000.0,540000.0,20000.0,0.0,0.0,0.0,1.0,2.0,50.0,2.0
9293,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,23.0,34.0,5.0,8.0,350000.0,400000.0,150000.0,0.0,0.0,0.0,2.0,2.0,80.0,2.0
9338,5.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,200000.0,2200000.0,50000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
9784,5.0,3000000.0,0.0,1750000.0,500000.0,4,2,42.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
10288,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,15.0,6.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
10309,5.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,56.0,28.0,1.0,0.0,180000.0,720000.0,125000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
10397,5.0,5800000.0,580000.0,3220000.0,550000.0,6,25,625.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
10572,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,30.0,28.0,1.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
10773,3.0,3500000.0,100000.0,2300000.0,500000.0,8,4,84.0,22.0,35.0,4.0,4.0,400000.0,3000000.0,200000.0,0.0,0.0,0.0,2.0,2.0,100.0,1.0
10856,13.0,5100000.0,510000.0,2040000.0,1275000.0,6,4,64.0,31.0,16.0,4.0,7.0,800000.0,1000000.0,150000.0,0.0,0.0,0.0,2.0,2.0,45.0,1.0
10946,3.0,6000000.0,600000.0,2400000.0,1500000.0,7,2,72.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
10970,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
11010,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,19.0,15.0,6.0,2.0,0.1,35000.0,30000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
11275,33.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,34.0,10.0,2.0,41.0,5600000.0,56600000.0,5000000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
11454,3.0,0.0,0.0,0.0,0.0,12,15,1215.0,24.0,9.0,2.0,15.0,1200000.0,5000000.0,100000.0,0.0,0.0,0.0,2.0,2.0,1.0,1.0
11523,3.0,7000000.0,400000.0,3100000.0,1750000.0,5,7,57.0,48.0,12.0,2.0,5.0,50000.0,300000.0,20000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
11578,3.0,4000000.0,300000.0,1970000.0,950000.0,0,0,0.0,184.0,25.0,7.0,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
12123,3.0,4000000.0,200000.0,1800000.0,1000000.0,4,2,42.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
12314,45.0,6000000.0,200000.0,2800000.0,1500000.0,26,18,2618.0,Unknown,Unknown,Unknown,6.0,300000.0,2200000.0,100000.0,0.0,0.0,0.0,2.0,2.0,50.0,1.0
12414,3.0,2400000.0,240000.0,1200000.0,360000.0,4,1,41.0,Unknown,Unknown,Unknown,6.0,50000.0,2200000.0,30000.0,0.0,0.0,0.0,2.0,2.0,50.0,2.0
